Inventory
Id;title;subtitle;Authors;publisher;storingLocation;comment;;;;
;Achtsam Morden;Im Hier und Jetzt;Karsten Dusse;Heyne;IKEA #9;;;;;
;Achtsam Morden ;Am Rande der Welt;Karsten Dusse;Heyne;IKEA #9;;;;;
;Der Große Gatsby;;F. Scott Fitzgerald;Anaconda;IKEA #9;;;;;
;The Bro Code;;Barney Stinson, Matt Kuhn;Fireside;IKEA #9;;;;;
;Die Bibel;Einheitsübersetzung Altes und Neues Testament;Gott;Herder;IKEA #9;;;;;
;Damals war es Friedrich;;Hans Peter Richter;dtv junior;IKEA #9;;;;;
;Maria Stuart;;Friedrich Schiller;Reclam;IKEA #9;;;;;
;Monsieur Ibrahim et  les fleurs du Coran;;Éric-Emmanuel Schmitt;Reclam;IKEA #9;;;;;
;Das Parfum;Die Geschichte eines Mörders;Patrick Süskind;Diogenes;IKEA #9;;;;;
;Star Wars;Episode I - Die Dunkle Bedrohung;Terry Brooks;blanvalet;IKEA #9;;;;;
;Star Wars;Episode II - Angriff der Klonkrieger;R. A. Salvatore;blanvalet;IKEA #9;;;;;
;Star Wars;Episode III - Die Rache der Sith;Matthew Stover;random house ;IKEA #9;;;;;
;Star Wars;Planet der Verräter;Greg Bear;blanvalet;IKEA #9;;;;;
;Verdammnis;;Stieg Larsson;Heyne;IKEA #9;;;;;
;Vergebung;;Stieg Larsson;Heyne;IKEA #9;;;;;
;Verblendung;;Stieg Larsson;Heyne;IKEA #9;;;;;
;Der Klügere Denkt Nach;;Martin Wehrle;Mosaik;IKEA #10;;;;;
;Happiness by Design;Finding pleasure and purpose in everyday life;Paul Dolan;Penguin Books;IKEA #10;;;;;
;The Destiny Formula;Find Your Purpose. Overcome Your Fear of Failure. Use Your natural Talents and Strengths to Build a Successful Life.;Ayodeji Awosika;;IKEA #10;Selbst ausgedruckt. Ist also irgendwo auf dem Laptop.;;;;
;Business Model You;;Tim Clark, Alexander Osterwalder, Yves Pigneur;campus;IKEA #10;;;;;
;Hertzmanns’s coffee;;Vanessa F. Fogel;Büchergilde Gutenberg;IKEA #10;;;;;
;The Making of a Manager;What to Do When Everyone Looks to You;Julie Zhuo;Virgin;IKEA #10;;;;;
;Stille;Ein Wegweise;Erling Kagge;Insel;IKEA #10;;;;;
;It’s All Good;Ändere deine Perspektive und du änderst deine Welt;Lars Amend;Kailash;IKEA #10;;;;;
;Deep Work;Rules for Focused success in a distracted world;Cal Newport;Piatkus;IKEA #10;;;;;
;Also sprach Zarathustra;;Friedrich Nietzsche;Fischer;IKEA #10;;;;;
;Blitzscaling;The lightning-fast path to building massively valuable companies;Reid Hoffman, Chris Yeh;Currency;IKEA #10;;;;;
;Nerd Attack!;Eine Geschichte der digitalen Welt vom C64 bis zu Twitter und Facebook;Christian Stöcker;DVA;IKEA #10;;;;;
;Process Consultation;Lessongs for Managers and Consultants;Edgar H. Schein;Addison Wesley;IKEA #10;;;;;
;10x DNA;Das Mindset der Zukunft;Frank Thelen;;IKEA #10;;;;;
;Mikro Abenteuer;;Christo Foerster;;IKEA #10;;;;;
;Odenwald;Kletterführer;;Panico Alpinverlag;IKEA #10;;;;;
;Blue Ocean Strategy;How to Create Uncontested Market Space and Make the Competition Irrelevant;W. Chan Kim, Renée Mauborgne;Harvard Business Review Press;IKEA #10;;;;;
;That will Never Work;The Birth of NETFLIX and the Amazing Life of an Idea;Marc Randolph;Endeavour;IKEA #10;;;;;
;Real Help;An Hones Guide To Self-Improvement;Ayodeji Awosika;;IKEA #10;;;;;
;Trust Yourself;Stop Overthinking and Channel Your Emotions for Success at Work;Melody Wilding;Chronical Prism;IKEA #10;;;;;
;Schreibdenken;Schreiben als Denk- und Lernwerkzeug nutzen und vermitteln;Ulrike Scheuermann;utb;IKEA #10;;;;;
;Building a Second Brain;A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential;Tiago Forte;Atria International;IKEA #10;;;;;
;Finde dein Warum;Der Praktische Wegweiser zu deiner wahren Bestimmung;Simon Sinek;Redline;IKEA #10;;;;;
;Schlaulenzen!;Warum es jetztZeit ist für die Reise zu unseren Potenzialen;Jürgen Alef;;IKEA #10;;;;;
;Die Logik des Misslingens;Strategisches Denken in komplexen Situationen;Dietrich Dörner;rororo;IKEA #10;;;;;
;Radical Focus;Achieving Your Most Important Goals with Objectives and Key Results;Christina Wodtke;;IKEA #10;;;;;
